
Guwahati,19-05-2025,99.65000000,50.00200000,27.40000000,85.30000000,15.20000000,2
Guwahati,20-05-2025,120.30000000,50.21700000,28.10000000,88.60000000,18.40000000,2
Guwahati,30-05-2025,112.78000000,50.48900000,28.00000000,90.10000000,20.30000000,2
Guwahati,01-06-2025,150.45000000,50.72100000,27.20000000,89.40000000,16.10000000,2
Guwahati,05-07-2025,60.35000000,49.49800000,29.30000000,88.20000000,14.60000000,1
Guwahati,08-07-2025,40.18000000,49.30200000,30.10000000,87.50000000,12.30000000,1
Guwahati,10-08-2025,10.42000000,48.21500000,32.00000000,80.60000000,10.10000000,0
Guwahati,15-09-2025,5.28000000,47.81200000,31.40000000,78.20000000,8.40000000,0
Guwahati,20-10-2024,2.10000000,47.00400000,29.20000000,75.60000000,10.30000000,0
Guwahati,04-07-2024,80.66000000,50.83200000,28.30000000,88.40000000,12.60000000,2
Guwahati,08-07-2024,65.48000000,49.61200000,29.00000000,87.30000000,10.50000000,1
Guwahati,15-08-2023,150.92000000,50.10400000,29.10000000,90.20000000,10.70000000,2
Guwahati,01-10-2023,5.14000000,48.50600000,30.30000000,77.80000000,8.20000000,0
Guwahati,20-06-2022,200.88000000,50.29700000,30.20000000,90.50000000,10.90000000,2
Guwahati,15-05-2022,15.36000000,48.89300000,31.10000000,85.40000000,9.60000000,0
Guwahati,01-05-2025,12.35000000,48.21500000,30.12500000,78.25000000,9.55000000,0
Guwahati,02-05-2025,8.42000000,48.31200000,30.51200000,77.89000000,10.12300000,0
Guwahati,03-05-2025,15.68000000,48.49800000,29.87500000,79.43000000,9.85000000,0
Guwahati,04-05-2025,55.12000000,49.15200000,28.41200000,85.21000000,12.45000000,1
Guwahati,09-05-2025,35.18000000,49.21200000,30.10000000,87.50000000,12.30000000,1
