City,Date,precip,River_Level,temp,humidity,windspeed,Flood
Delhi,01-07-2023,2.358,205.7587785,32.10769987,70.20825762,9.340984336,2
Delhi,02-07-2023,1.607,203.7290684,31.25705242,73.14341023,11.07133771,0
Delhi,03-07-2023,2.537,204.0810338,30.82652758,63.93665026,14.43368213,0
Delhi,04-07-2023,3.570,202.2903022,30.54834446,63.03793376,8.445189345,0
Delhi,05-07-2023,1.495,203.3467407,28.78221701,83.12525822,7.574519191,0
Delhi,06-07-2023,1.496,204.1331071,29.92023369,88.56240029,8.494728869,0
Delhi,07-07-2023,3.637,202.6188077,30.30904184,74.27989878,12.74620635,0
Delhi,08-07-2023,2.678,204.4508376,32.58568334,85.03532898,10.98625333,0
Delhi,09-07-2023,1.217,203.2792336,31.51542743,78.61636025,8.410719389,0
Delhi,10-07-2023,2.412,203.6499675,28.35543977,68.54880245,11.5398023,0
Delhi,11-07-2023,1.224,204.6779521,31.48612595,78.61395606,10.29123265,0
Delhi,12-07-2023,1.221,206.2227338,30.42237658,90.38036566,12.90593497,2
Delhi,13-07-2023,2.058,203.9838033,29.984617,74.64173961,7.893840718,1
Delhi,14-07-2023,0.000,202.7307469,31.91751443,90.64643656,9.01701356,0
Delhi,15-07-2023,0.000,204.9870539,32.54649928,48.80254896,8.823675541,0
Delhi,16-07-2023,1.108,202.5349876,32.39692018,83.21902504,5.609455156,0
Delhi,17-07-2023,0.575,204.2506363,29.74117372,75.87047068,10.88836083,0
Delhi,18-07-2023,2.143,201.6483959,30.53618144,72.0099265,10.78316582,0
Delhi,19-07-2023,0.699,202.4061767,31.49689515,75.91760777,10.01534037,0
Delhi,20-07-2023,0.104,204.2362335,32.46331769,55.12431085,9.2962386,0
Delhi,21-07-2023,4.803,208.630889,33.63088896,90.39692018,12.23623348,2
Delhi,22-07-2023,4.161,207.2903022,26.54834446,80.03793376,13.44518935,2
Delhi,23-07-2023,10.66,208.66392736,24.23684542,85.343434343,50.2432113,2
Delhi,24-07-2023,4.214,204.7890322,29.90348761,82.21538476,11.33029412,1
Delhi,25-07-2023,5.102,207.9938438,28.74329384,89.50138471,12.23811128,2
Delhi,26-07-2023,4.487,205.3847392,30.41294957,84.20394829,10.38573945,1
Delhi,27-07-2023,6.781,206.9256372,27.12849305,91.49328474,13.03984748,2
Delhi,28-07-2023,3.930,203.9834739,31.9238472,77.39283749,9.58328475,1
Delhi,29-07-2023,7.421,207.1938475,28.8238473,88.39283748,12.20394875,2
Delhi,30-07-2023,5.582,204.7393847,29.1838475,86.28473829,11.20394838,1
Guwahati,19-05-2025,99.65000000,50.00200000,27.40000000,85.30000000,15.20000000,2
Guwahati,20-05-2025,120.30000000,50.21700000,28.10000000,88.60000000,18.40000000,2
Guwahati,30-05-2025,112.78000000,50.48900000,28.00000000,90.10000000,20.30000000,2
Guwahati,01-06-2025,150.45000000,50.72100000,27.20000000,89.40000000,16.10000000,2
Guwahati,05-07-2025,60.35000000,49.49800000,29.30000000,88.20000000,14.60000000,1
Guwahati,08-07-2025,40.18000000,49.30200000,30.10000000,87.50000000,12.30000000,1
Guwahati,10-08-2025,10.42000000,48.21500000,32.00000000,80.60000000,10.10000000,0
Guwahati,15-09-2025,5.28000000,47.81200000,31.40000000,78.20000000,8.40000000,0
Guwahati,20-10-2024,2.10000000,47.00400000,29.20000000,75.60000000,10.30000000,0
Guwahati,04-07-2024,80.66000000,50.83200000,28.30000000,88.40000000,12.60000000,2
Guwahati,08-07-2024,65.48000000,49.61200000,29.00000000,87.30000000,10.50000000,1
Guwahati,15-08-2023,150.92000000,50.10400000,29.10000000,90.20000000,10.70000000,2
Guwahati,01-10-2023,5.14000000,48.50600000,30.30000000,77.80000000,8.20000000,0
Guwahati,20-06-2022,200.88000000,50.29700000,30.20000000,90.50000000,10.90000000,2
Guwahati,15-05-2022,15.36000000,48.89300000,31.10000000,85.40000000,9.60000000,0
Guwahati,01-05-2025,12.35000000,48.21500000,30.12500000,78.25000000,9.55000000,0
Guwahati,02-05-2025,8.42000000,48.31200000,30.51200000,77.89000000,10.12300000,0
Guwahati,03-05-2025,15.68000000,48.49800000,29.87500000,79.43000000,9.85000000,0
Guwahati,04-05-2025,55.12000000,49.15200000,28.41200000,85.21000000,12.45000000,1
Guwahati,09-05-2025,35.18000000,49.21200000,30.10000000,87.50000000,12.30000000,1

